Sušice,1,2018-01-10
Tábor,26,2016-03-16
Jirkov,0,2004-01-09
Blansko,-11,2001-02-09
Kladno,4,2009-05-06
Kopřivnice,5,2019-07-09
České Budějovice,34,2005-06-30
Benešov,29,2000-06-28
Třebíč,10,2014-12-16
Jičín,34,2014-05-18
Trutnov,17,2021-11-29
Trutnov,13,2019-10-06
Žatec,-2,2002-11-02
Rumburk,3,2020-05-28
Klatovy,23,2017-01-01
Pelhřimov,25,2016-01-03
Jeseník,2,2003-04-09
Pelhřimov,-2,2014-01-11
Jičín,10,2009-12-28
Benešov,4,2018-03-26
Česká Lípa,26,2019-09-17
Rumburk,5,2012-11-12
Šumperk,-13,2019-10-16
Žďár nad Sázavou,18,2017-11-21
Český Těšín,-3,2019-07-16
Kladno,-13,2000-05-24
Kolín,13,2004-02-28
Brno,14,2022-11-04
Jihlava,21,2005-07-12
Pelhřimov,1,2004-02-06
Litvínov,-8,2004-07-10
Brno,5,2011-09-10
Jičín,-1,2001-12-30
Prostějov,-3,2008-10-23
Plzeň,11,2020-08-21
Šumperk,21,2021-09-13
Chomutov,18,2001-06-27
Žatec,8,2014-10-12
Přerov,0,2007-09-19
Ostrava,30,2007-01-08
Děčín,7,2004-08-19
Jindřichův Hradec,32,2020-08-22
Litoměřice,28,2009-06-28
Louny,-9,2018-01-28
Cheb,20,2020-07-29
Jičín,23,2022-07-11
Kolín,-10,2012-06-21
Litvínov,28,2005-03-14
Kolín,-6,2007-08-19
Trutnov,6,2011-04-28
Olomouc,-2,2021-03-26
Kroměříž,19,2002-05-17
Prostějov,22,2012-03-06
Mladá Boleslav,6,2013-09-22
Teplice,26,2011-08-26
Brno,-8,2007-02-26
Nový Jičín,15,2009-10-18
Tábor,19,2018-07-29
Hradec Králové,13,2018-07-19
Prostějov,-14,2017-01-29
Louny,8,2012-05-21
Rumburk,9,2021-10-01
Cheb,-5,2004-09-28
Hradec Králové,19,2001-02-01
Jirkov,31,2002-02-03
Rakovník,10,2005-08-27
Karviná,2,2018-06-14
Blansko,34,2006-06-03
Šumperk,-10,2018-04-04
Náchod,-4,2006-12-05
Cheb,17,2018-12-06
Brno,30,2012-11-01
Kopřivnice,-3,2001-08-05
Břeclav,-5,2006-03-01
Beroun,16,2015-09-11
Třebíč,-4,2004-04-16
Prostějov,2,2020-12-19
Mladá Boleslav,14,2014-01-15
Cheb,18,2002-05-19
Český Těšín,19,2005-03-21
Klatovy,18,2000-06-19
Kopřivnice,1,2017-10-06
Prostějov,5,2002-04-25
Tábor,14,2009-08-29
Přerov,19,2021-10-20
Sušice,-9,2002-04-19
Valašské Meziříčí,14,2017-11-29
Teplice,-7,2013-12-30
Žatec,15,2002-12-12
Žďár nad Sázavou,11,2004-05-01
Liberec,-10,2010-03-22
Rumburk,7,2013-01-23
Hradec Králové,15,2017-11-29
Rakovník,-8,2018-05-21
Jičín,-11,2012-01-08
Děčín,34,2007-09-03
Jindřichův Hradec,34,2002-07-07
Přerov,33,2003-10-03
Teplice,16,2009-12-03
Česká Lípa,32,2002-05-31
Klatovy,26,2020-11-03
Ostrava,-15,2018-10-12
Jablonec nad Nisou,7,2014-04-25
Břeclav,1,2003-01-24
Kladno,27,2015-10-28
Plzeň,3,2010-06-17
Kopřivnice,29,2009-10-17
Olomouc,4,2007-01-21
Žďár nad Sázavou,14,2021-04-14
Praha,18,2016-03-21
Praha,0,2001-06-03
Valašské Meziříčí,-1,2017-10-24
Litvínov,5,2011-06-29
Česká Lípa,33,2006-05-25
Valašské Meziříčí,12,2004-09-08
Chomutov,-7,2007-07-26
Benešov,13,2000-10-02
Teplice,22,2007-06-18
Česká Lípa,13,2016-02-12
Ostrov,17,2018-02-25
Jičín,25,2013-07-29
Cheb,12,2013-03-27
Žatec,1,2002-02-22
Brno,19,2002-08-29
Teplice,-12,2012-01-28
Kroměříž,4,2013-10-18
Jeseník,25,2013-02-27
Břeclav,16,2018-09-07
Kladno,9,2009-05-01
Valašské Meziříčí,2,2012-08-31
Brandýs nad Labem-Stará Boleslav,8,2010-11-13
Kladno,30,2007-12-13
Hradec Králové,-1,2008-04-21
Uherské Hradiště,25,2008-01-10
Náchod,-4,2011-03-21
Klatovy,19,2003-04-23
Tábor,17,2019-06-19
Břeclav,5,2012-01-14
Klatovy,3,2011-07-03
Rumburk,3,2011-07-17
Pardubice,25,2022-06-14
Česká Lípa,14,2017-08-08
Valašské Meziříčí,17,2021-03-12
Žďár nad Sázavou,4,2003-01-24
Žďár nad Sázavou,23,2004-06-23
České Budějovice,12,2007-05-13
Šumperk,17,2014-09-03
Litoměřice,6,2019-06-23
Přerov,28,2020-05-10
Jindřichův Hradec,13,2011-05-12
Jeseník,8,2010-07-05
Benešov,-1,2017-09-12
Mladá Boleslav,7,2008-12-26
Blansko,-3,2010-10-10
Mladá Boleslav,12,2002-12-02
Liberec,-9,2017-04-14
Jihlava,14,2015-03-27
Tábor,-3,2009-07-13
Nový Jičín,17,2021-09-06
Kladno,34,2011-06-23
Brno,-13,2015-07-24
Žďár nad Sázavou,26,2003-02-14
Ústí nad Labem,-4,2001-06-20
Český Těšín,-9,2016-12-12
Uherské Hradiště,9,2002-04-08
Jablonec nad Nisou,18,2002-07-30
Sušice,29,2005-09-25
Prostějov,28,2017-11-25
Jablonec nad Nisou,26,2020-01-30
Rakovník,30,2016-09-13
Liberec,30,2005-08-22
Chomutov,11,2004-01-11
Kladno,-13,2019-12-25
Plzeň,9,2006-07-22
Tábor,11,2022-03-31
Mladá Boleslav,16,2000-05-30
Pardubice,29,2019-08-25
Litoměřice,18,2011-03-31
Chomutov,10,2011-09-05
Český Těšín,23,2000-12-25
České Budějovice,21,2002-12-24
Blansko,-14,2013-09-25
Šumperk,17,2008-09-04
Mladá Boleslav,5,2011-12-02
