datum;nove_pripady;nove_reinfekce;pripady_neockovani_neprodelali;pripady_neockovani_prodelali;pripady_ockovani_neprodelali;pripady_ockovani_prodelali
2020-03-01;3;0;3;0;0;
2020-03-02;0;0;0;0;0;
2020-03-03;2;0;2;0;0;
2020-03-04;1;0;1;0;0;
2020-03-05;3;0;3;0;0;
2020-03-06;11;0;11;0;0;
2020-03-07;7;0;7;0;0;
2020-03-08;6;0;6;0;0;
2020-03-09;6;0;6;0;0;
2020-03-10;25;0;25;0;0;
2020-03-11;31;0;31;0;0;
2020-03-12;22;0;22;0;0;
2020-03-13;25;0;25;0;0;
2020-03-14;48;0;48;0;0;
2020-03-15;109;0;109;0;0;
2020-03-16;86;0;86;0;0;
2020-03-17;72;0;72;0;0;
2020-03-18;110;0;110;0;0;
2020-03-19;207;0;207;0;0;
2020-03-20;125;0;125;0;0;
2020-03-21;160;0;160;0;0;
2020-03-22;115;0;115;0;0;
2020-03-23;127;0;127;0;0;
2020-03-24;185;0;185;0;0;
2020-03-25;294;0;294;0;0;
2020-03-26;260;0;260;0;0;
2020-03-27;379;0;379;0;0;
2020-03-28;264;0;264;0;0;
2020-03-29;159;0;159;0;0;
2020-03-30;184;0;184;0;0;
2020-03-31;308;0;308;0;0;
2020-04-01;284;0;284;0;0;
2020-04-02;268;0;268;0;0;
2020-04-03;334;0;334;0;0;
2020-04-04;284;0;284;0;0;
2020-04-05;118;0;118;0;0;
2020-04-06;237;0;237;0;0;
2020-04-07;196;0;196;0;0;
2020-04-08;294;0;294;0;0;
2020-04-09;259;0;259;0;0;
2020-04-10;163;0;163;0;0;
2020-04-11;171;0;171;0;0;
2020-04-12;89;0;89;0;0;
2020-04-13;68;0;68;0;0;
2020-04-14;82;0;82;0;0;
2020-04-15;160;0;160;0;0;
2020-04-16;134;0;134;0;0;
2020-04-17;116;0;116;0;0;
2020-04-18;105;0;105;0;0;
2020-04-19;93;0;93;0;0;
2020-04-20;154;0;154;0;0;
2020-04-21;133;0;133;0;0;
2020-04-22;99;0;99;0;0;
2020-04-23;57;0;57;0;0;
2020-04-24;86;0;86;0;0;
2020-04-25;79;0;79;0;0;
2020-04-26;52;0;52;0;0;
